Международная классификация болезней – Онкология (3 издание). Морфологические коды,Международная классификация болезней – Онкология (3 издание). Морфологические коды,Международная классификация болезней – Онкология (3 издание). Топографические коды,Международная классификация болезней – Онкология (3 издание). Топографические коды
1.2.643.5.1.13.13.11.1486,1.2.643.5.1.13.13.11.1486,1.2.643.5.1.13.13.11.1487,1.2.643.5.1.13.13.11.1487
ID,CODE,ID,CODE
376,8521/3,401,C77.1
375,8520/3,401,C77.1
374,8520/2,401,C77.1
1176,8519/2,401,C77.1
373,8514/3,401,C77.1
372,8513/3,401,C77.1
384,8541/3,401,C77.1
366,8505/0,401,C77.1
359,8502/3,401,C77.1
360,8503/0,401,C77.1
361,8503/2,401,C77.1
362,8503/3,401,C77.1
363,8504/0,401,C77.1
371,8512/3,401,C77.1
365,8504/3,401,C77.1
370,8510/3,401,C77.1
367,8506/0,401,C77.1
368,8507/2,401,C77.1
1173,8507/3,401,C77.1
369,8508/3,401,C77.1
1174,8509/2,401,C77.1
385,8542/3,401,C77.1
364,8504/2,401,C77.1
403,8575/3,401,C77.1
291,8400/3,401,C77.1
292,8401/0,401,C77.1
422,8589/3,401,C77.1
421,8588/3,401,C77.1
420,8587/0,401,C77.1
419,8586/3,401,C77.1
418,8585/3,401,C77.1
416,8584/3,401,C77.1
414,8583/3,401,C77.1
412,8582/3,401,C77.1
410,8581/3,401,C77.1
408,8580/3,401,C77.1
407,8580/1,401,C77.1
383,8540/3,401,C77.1
397,8562/3,401,C77.1
386,8543/3,401,C77.1
388,8550/0,401,C77.1
389,8550/1,401,C77.1
391,8551/3,401,C77.1
394,8560/0,401,C77.1
406,8580/0,401,C77.1
396,8561/0,401,C77.1
404,8576/3,401,C77.1
398,8570/3,401,C77.1
399,8571/3,401,C77.1
400,8572/3,401,C77.1
401,8573/3,401,C77.1
402,8574/3,401,C77.1
390,8550/3,401,C77.1
395,8560/3,401,C77.1
1167,8409/2,401,C77.1
321,8442/1,401,C77.1
320,8441/3,401,C77.1
1168,8441/2,401,C77.1
319,8441/0,401,C77.1
318,8440/3,401,C77.1
317,8440/0,401,C77.1
315,8430/3,401,C77.1
314,8430/1,401,C77.1
312,8420/3,401,C77.1
311,8420/0,401,C77.1
310,8413/3,401,C77.1
309,8410/3,401,C77.1
322,8443/0,401,C77.1
307,8409/3,401,C77.1
306,8409/0,401,C77.1
305,8408/3,401,C77.1
302,8407/3,401,C77.1
301,8407/0,401,C77.1
1166,8406/3,401,C77.1
300,8406/0,401,C77.1
299,8405/0,401,C77.1
298,8404/0,401,C77.1
297,8403/3,401,C77.1
296,8403/0,401,C77.1
295,8402/3,401,C77.1
357,8501/2,401,C77.1
392,8552/3,401,C77.1
294,8402/0,401,C77.1
308,8410/0,401,C77.1
340,8470/2,401,C77.1
352,8490/3,401,C77.1
351,8482/3,401,C77.1
350,8481/3,401,C77.1
349,8480/6,401,C77.1
348,8480/3,401,C77.1
347,8480/1,401,C77.1
